_id,id,name,aviable,instock,price,currencyId,delivery,vendor,vendorCode,model,description,categoryId,Гарантия,Панель к поддону,Диаметр отверстия для сифона,Страна регистрации бренда,Страна-производитель товара,Бренд,Модель,Количество грузовых мест,"Габариты 1 (ВхШхД), мм","Вес брутто 2, кг","Габариты 2 (ВхШхД), мм",Тип изделия,Материал дверей,Цвет полотна двери,Материал задних стенок,Цвет задних стенок,Толщина материала двери,Материал профиля,Цвет профиля,Материал поддона,Цвет поддона,Габариты поддона (ГхВхШхД),Задняя стенка,Двери,Форма,Наличие верхней крышки,"Габариты готового изделия (ВхШхГ), мм",Комплектация,Особенности,"Вес брутто 3, кг","Габариты 3 (ВхШхД), мм","Вес нетто, кг",Серия,"Вес брутто 1, кг","Высота стекол, мм","Габариты 1 (ШхВхД), мм",Назначение,Материал,Способ монтажа,Механизм смешивания,Наличие термостата,"Высота изделия, мм","Ширина изделия, мм","Длина изделия, мм",Донный клапан,Диаметр подключения,"Расход воды, л/мин","Рабочее давление, bar",Код УКТВЭД,"Все нетто, кг",Цвет,Тип управления,Тип излива,"Высота излива, мм","Длина излива, мм",Тип крепления,Тип подвода,"Диаметр монтажного отверстия, мм",Шланги подключения,Тип монтажа,Тип,Габариты изделия,"Вес брутто, кг","Габариты упаковки, мм",Габариты изделия (ВхШхГ),Форма ручной лейки,Фирменные технологии,"Диаметр ручной лейки, мм",Количество режимов переключения лейки,Артикул,Дополнительные характеристики,Описание,Важно,"Габариты изделия (ВхШхД), мм",Обратите внимание,Поверхность,Вид монтажа,Форма лейки,"Диаметр лейки, мм","Длина кронштейна для верхнего душа, мм","Высота душевой стойки, мм","Длина шланга, мм",Количество потребителей,Диаметр ручной лейки,Количество режимов,Количество отверстий для монтажа,Диаметр подключения шлангов,Шланги,"Диаметр картриджа, мм","Габариты изделия (ВхШхГ), мм",Система предотвращения скручивания шланга,Количество режимов переключения,Количество крючков,Метод крепления,Страна - производитель товара,Тип конструкции,Количество перекладин,Поворотная конструкция,"Длина держателя, мм","Толщина материала, мм","Минимальная ширина шкафа, мм",Наличие крыла,Количество основных чаш,Габариты чаши 1 (ВхШхД),Отверстие под смеситель,"Диаметр слива, мм",Наличие перелива,Расположение крыла,"Габариты упаковки (ВхШхД), мм",Количество отверстий для монтажа смесителя,"Высота стойки, мм",Состав набора,Встраиваемая часть в комплекте,Длина кронштейна,Диаметр слива,Система Cliсk-Claсk,Вид слива-перелива,Вид затвора,"Диаметр патрубка в канализацию, мм",Материал слива,Материал решетки,"Размер решетки, мм",Направление выпуска,"Вес брутто , кг",Количество ярусов,"Объем, мл","Габариты изделия (ВхШ), мм",Цвет корпуса,"Диаметр зеркала, мм",Способ открывания крышки,Материал внешнего бака,Внутренний бак,Количество внутренних баков,Конструкция внутреннего бака,Габариты внутреннего бака,Материал внутреннего бака,Цвет внутреннего бака,"Объем, л",Доступ для обслуживания,Тип крышки,Элементы питания,Функция антизапотевания,Наличие светильника,Способ монтажа светильника,Тип лампы,Количество светильников,Тип выключателя,Питание,"Глубина изделия, мм",Наличие полки,Утяжелители,Рекомендации по уходу,Принт,Материал подложки,"Высота ворса, мм",Мощность потребления,Максимальная рабочая температура,Наличие терморегулятора,Количество секций,Направление подключения,Тип термоносителя,Подключение к системе,Описание товара,Тип управления сливом воды,Звукоизоляционная прокладка,"Межосевое расстояние креплений, мм",Наличие панели смыва,Регулировка смыва,"Объем смывного бачка, л",Подключение воды,Количество режимов слива воды,Функция принудительного прерывания слива воды,Наличие смесителя,Подключение горячей воды,Управление,Рабочее давление (атм),"Межосевое расстояние, мм",Наличие сифона,Количество дополнительных чаш,Габариты чаши 2 (ВхШхД),Тип элементов питания,Количество элементов питания,"Элементы питания в комплекте (указать есть, нет)",Количество режимов струи смесителя для кухни,Совместимость,"Потребляемая мощность, Вт",Количество скоростей,Количество температурных режимов,Функция подачи холодного воздуха,"Напряжение, V","Уровень шума, дБ",Общая мощность,"Время сушки, сек","Температура воздушного потока, °С","Скорость воздушного потока, км/ч",Подключение,Тип включения,Материал корпуса,Количество полок,Материал полок,"Габариты упаковки 2, мм",Монтаж,"Габариты изделия (ШхДхВ), мм","Габариты изделия (ШхВхД), мм","Диаметр подключения, мм",Объем смывного бачка,Безободковый унитаз,Сиденье в комплекте,Вид унитаза,Сиденье с микролифтом,Функция биде,Организация смывающего потока,Тип установки,Форма чаши,Метод установки смывного бачка,"Вес брутто инсталляции, кг","Габариты упаковки инсталляции, мм","Габариты изделий (ВхШхД), мм","Минимальный объем воды для омывания чаши, л","Вес брутто гигиенического душа, кг","Габариты упаковки гигиенического душа, мм",Наличие слива - перелива,Наличие отверстия под смеситель,Функция микролифта,"Пропускная способность, л/мин",Тип управления смывным клапаном,"Вес брутто сиденья, кг","Вес брутто унитаза, кг","Габариты упаковки унитаза, мм","Габариты упаковки сиденья, мм",Функция микролифта сиденья,Расположение перелива,Наличие ножек,"Габариты упаковки ванны, мм","Габариты упаковки рамы-каркаса, мм","Габариты упаковки ножек, мм",Габариты готового изделия,Наличие сиденья,Угловая конструкция,Толщина материала,"Производительность, кубм/ч",Автоматическое вкл/выкл (сенсор),Режим работы,Наличие таймера,Материал декора,Наличие дисплея,"Мощность мотора, Вт","Диаметр воздуховода, мм",Класс энергопотребления,Количество источников света,Тип источников света,Тип фильтра,Количество режимов струи,Душевой гарнитур в комплекте
5e90a4af621717483dd5c556,SD00036070,Полотенцесушитель водяной Q-tap Dias (SIL) P15 800x600 HY,true,29,2130,UAH,true,Q-tap,SD00036070,QTDIASSILP15800600HY,Полотенцесушитель водяной Q-tap Dias (SIL) P15 800x600 HY,312,5 лет,,,Украина,,,P15,1,,,,Полотенцесушитель водяной,,,,,,,,,,,,,Лесенка,,,"Полотенцесушитель, кран Маевского, заглушка металлическая, крепления, паспорт.",,,,"6,96",Dias,,,,,Сталь,,,,,,,,"1/2""",,,,,Серый,,,,,,,,,Настенный,,,"8,46",840х630х50,,,,,,QTDIASSILP15800600HY,"Габаритные размеры трубы: горизонтальные - 30х15х1,2 мм, вертикальные - 30х40х1,5 мм.",,,,,,,,,,,,,,,,,,,800х600х50,,,,,Украина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 95 °С,,15,Возможность выбора,"Вода техническая, антифриз.",Горячее водоснабжение,"Полотенцесушитель водяной Q-tapDias (SIL) P15 800x600 HY служит альтернативой обогревателя и обеспечивает защиту от влаги. Изделие незаменимо для ванных комнат с плохой вентиляцией. Он исключает появление конденсата, предотвращает появление грибка. Данное изделие выполнено из новейших высококачественных материалов, что позволит вам с лёгкостью использовать данный полотенцесушитель. Дизайн полотенцесушителя отлично дополнит интерьер ванной комнаты.",,,,,,,,,,,,,15,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c557,SD00036071,Полотенцесушитель водяной Q-tap Dias (SIL) P18 1000x600 HY,true,29,2370,UAH,true,Q-tap,SD00036071,QTDIASSILP181000600HY,Полотенцесушитель водяной Q-tap Dias (SIL) P18 1000x600 HY,312,5 лет,,,Украина,,,P18,1,,,,Полотенцесушитель водяной,,,,,,,,,,,,,Лесенка,,,"Полотенцесушитель, кран Маевского, заглушка металлическая, крепления, паспорт.",,,,"8,56",Dias,,,,,Сталь,,,,,,,,"1/2""",,,,,Серый,,,,,,,,,Настенный,,,"10,06",1040х630х50,,,,,,QTDIASSILP181000600HY,"Габаритные размеры трубы: горизонтальные - 30х15х1,2 мм, вертикальные - 30х40х1,5 мм.",,,,,,,,,,,,,,,,,,,1000х500х50,,,,,Украина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 95 °С,,18,Возможность выбора,"Вода техническая, антифриз.",Горячее водоснабжение,"Полотенцесушитель водяной Q-tapDias (SIL) P18 1000x600 HY служит альтернативой обогревателя и обеспечивает защиту от влаги. Изделие незаменимо для ванных комнат с плохой вентиляцией. Он исключает появление конденсата, предотвращает появление грибка. Данное изделие выполнено из новейших высококачественных материалов, что позволит вам с лёгкостью использовать данный полотенцесушитель. Дизайн полотенцесушителя отлично дополнит интерьер ванной комнаты.",,,,,,,,,,,,,15,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c558,SD00036072,Полотенцесушитель водяной Q-tap Glory (WHI) P10 550x500 HY,true,99,1440,UAH,true,Q-tap,SD00036072,QTGLORYWHIP10550500HY,Полотенцесушитель водяной Q-tap Glory (WHI) P10 550x500 HY,312,5 лет,,,Украина,,,P10,1,,,,Полотенцесушитель водяной,,,,,,,,,,,,,Лесенка,,,"Полотенцесушитель, кран Маевского, заглушка металлическая, крепления, паспорт.",,,,"4,1",Glory,,,,,Сталь,,,,,,,,"1/2""",,,,,Белый,,,,,,,,,Настенный,,,"5,6",600х530х140,,,,,,QTGLORYWHIP10550500HY,"Габаритные размеры трубы: горизонтальные - 22х1,0 мм, вертикальные - 30х40х1,5",,,,,,,,,,,,,,,,,,,550х500х130,,,,,Украина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 95 °С,,10,Возможность выбора,"Вода техническая, антифриз.",Горячее водоснабжение,"Полотенцесушитель водяной Q-tapGlory (WHI) P10 550x500 HY служит альтернативой обогревателя и обеспечивает защиту от влаги. Изделие незаменимо для ванных комнат с плохой вентиляцией. Он исключает появление конденсата, предотвращает появление грибка. Данное изделие выполнено из новейших высококачественных материалов, что позволит вам с лёгкостью использовать данный полотенцесушитель. Дизайн полотенцесушителя отлично дополнит интерьер ванной комнаты.",,,,,,,,,,,,,15,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c559,SD00036073,Полотенцесушитель водяной Q-tap Glory (WHI) P14 750x500 HY,true,99,1740,UAH,true,Q-tap,SD00036073,QTGLORYWHIP14750500HY,Полотенцесушитель водяной Q-tap Glory (WHI) P14 750x500 HY,312,5 лет,,,Украина,,,P14,1,,,,Полотенцесушитель водяной,,,,,,,,,,,,,Лесенка,,,"Полотенцесушитель, кран Маевского, заглушка металлическая, крепления, паспорт.",,,,"5,86",Glory,,,,,Сталь,,,,,,,,"1/2""",,,,,Белый,,,,,,,,,Настенный,,,"7,36",800х530х140,,,,,,QTGLORYWHIP14750500HY,"Габаритные размеры трубы: горизонтальные - 22х1,0 мм, вертикальные - 30х40х1,5",,,,,,,,,,,,,,,,,,,750х500х130,,,,,Украина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 95 °С,,14,Возможность выбора,"Вода техническая, антифриз.",Горячее водоснабжение,"Полотенцесушитель водяной Q-tapGlory (WHI) P14 750x500 HY служит альтернативой обогревателя и обеспечивает защиту от влаги. Изделие незаменимо для ванных комнат с плохой вентиляцией. Он исключает появление конденсата, предотвращает появление грибка. Данное изделие выполнено из новейших высококачественных материалов, что позволит вам с лёгкостью использовать данный полотенцесушитель. Дизайн полотенцесушителя отлично дополнит интерьер ванной комнаты.",,,,,,,,,,,,,15,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c55a,SD00036074,Полотенцесушитель водяной Q-tap Glory (WHI) P16 1000x500 HY,true,99,2040,UAH,true,Q-tap,SD00036074,QTGLORYWHIP161000500HY,Полотенцесушитель водяной Q-tap Glory (WHI) P16 1000x500 HY,312,5 лет,,,Украина,,,P16,1,,,,Полотенцесушитель водяной,,,,,,,,,,,,,Лесенка,,,"Полотенцесушитель, кран Маевского, заглушка металлическая, крепления, паспорт.",,,,"7,36",Glory,,,,,Сталь,,,,,,,,"1/2""",,,,,Белый,,,,,,,,,Настенный,,,"8,86",1050х530х140,,,,,,QTGLORYWHIP161000500HY,"Габаритные размеры трубы: горизонтальные - 22х1,0 мм, вертикальные - 30х40х1,5",,,,,,,,,,,,,,,,,,,1000х500х130,,,,,Украина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 95 °С,,16,Возможность выбора,"Вода техническая, антифриз.",Горячее водоснабжение,"Полотенцесушитель водяной Q-tapGlory (WHI) P16 1000x500 HY служит альтернативой обогревателя и обеспечивает защиту от влаги. Изделие незаменимо для ванных комнат с плохой вентиляцией. Он исключает появление конденсата, предотвращает появление грибка. Данное изделие выполнено из новейших высококачественных материалов, что позволит вам с лёгкостью использовать данный полотенцесушитель. Дизайн полотенцесушителя отлично дополнит интерьер ванной комнаты.",,,,,,,,,,,,,15,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c55b,SD00036075,Полотенцесушитель водяной Q-tap Glory (WHI) P22 1200x500 HY,true,43,2400,UAH,true,Q-tap,SD00036075,QTGLORYWHIP221200500HY,Полотенцесушитель водяной Q-tap Glory (WHI) P22 1200x500 HY,312,5 лет,,,Украина,,,P22,1,,,,Полотенцесушитель водяной,,,,,,,,,,,,,Лесенка,,,"Полотенцесушитель, кран Маевского, заглушка металлическая, крепления, паспорт.",,,,"9,54",Glory,,,,,Сталь,,,,,,,,"1/2""",,,,,Белый,,,,,,,,,Настенный,,,"11,04",1250х530х140,,,,,,QTGLORYWHIP221200500HY,"Габаритные размеры трубы: горизонтальные - 22х1,0 мм, вертикальные - 30х40х1,5",,,,,,,,,,,,,,,,,,,1200х500х130,,,,,Украина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 95 °С,,22,Возможность выбора,"Вода техническая, антифриз.",Горячее водоснабжение,"Полотенцесушитель водяной Q-tapGlory (WHI) P22 1200x500 HY служит альтернативой обогревателя и обеспечивает защиту от влаги. Изделие незаменимо для ванных комнат с плохой вентиляцией. Он исключает появление конденсата, предотвращает появление грибка. Данное изделие выполнено из новейших высококачественных материалов, что позволит вам с лёгкостью использовать данный полотенцесушитель. Дизайн полотенцесушителя отлично дополнит интерьер ванной комнаты.",,,,,,,,,,,,,15,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c55c,SD00036238,Смеситель для гигиенического душа Q-tap Form CRM 001AB SQ,true,16,1887,UAH,true,Q-tap,SD00036238,QTFORM001ABSQ,Смеситель для гигиенического душа Q-tap Form CRM 001AB SQ,360,5 лет,,,Украина,Китай,Q-tap,001AB SQ,1,,,,Набор для гигиенического душа,,,,,,,,,,,,,,,,"Накладная панель, встраиваемая часть смесителя, крепежи,  душевой шланг, лейка для гигиенического душа, шланговое подсоединение, паспорт.","Душевой шланг с системой предотвращения скручивания, трехпорционный картридж.",,,,Form,"2,00",,130х200х190,для биде,Латунь,Скрытый,Картридж (d35),Нет,,,,,"1/2""",до 13,до 3,,"1,70",Хром,Однорычажный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c55d,SD00036239,Смеситель для душа Q-tap Form CRM 010-22 SQ,true,55,1551,UAH,true,Q-tap,SD00036239,QTFORM01022SQ,Смеситель для душа Q-tap Form CRM 010-22 SQ,31,5 лет,,,Украина,Китай,Q-tap,010-22 SQ,1,,,,Смеситель,,,,,,,,,,,,,,,,"Накладная панель, встраиваемая часть смесителя, крепежи, паспорт.",трехпорционный картридж,,,,Form,"1,87",,130х200х190,для душа,Латунь,Скрытый,Картридж (d35),Нет,,,,Нет,"1/2""",до 13,до 3,,"1,55",Хром,Однорычажный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c55e,SD00036242,Смеситель для биде Q-tap Loft CRM 001A,true,99,927,UAH,true,Q-tap,SD00036242,QTLOFT001A,Смеситель для биде Q-tap Loft CRM 001A,208,5 лет,,,Украина,Китай,Q-tap,001A,1,,,,Смеситель,,,,,,,,,,,,,,,,"Смеситель, гибкая подводка, крепежи.",,,,"0,72",Loft,,,,Для биде,Латунь,,Картридж,,140,40,130,Нет,,До 13,До 3,,,Хром,Однорычажный,Литой,85,110,Шпилька,Гибкий,35,Входят в комплект,,,,"1,1",70х200х180,,,,,,QTLOFT001A,Поворотный аэратор,"Смеситель для биде Q-tap Loft CRM 001A изготовлен из высококачественной латуни, которая не подвержена коррозии. Благодаря глянцевому хромированному покрытию и литой форме имеет привлекательный внешний вид. Выполнен в современном стиле с поворотным аэратором и прямоугольной ручкой для переключения холодной и горячей воды. Такой смеситель не только удобен и практичен, но и станет изюминкой в интерьере ванной комнаты.",,,"Производитель оставляет за собой право вносить изменения в конструкцию изделий и деталей, не ухудшающих качество изделия, без предварительного уведомления.",Глянцевое,Врезной,,,,,,,,,1,"1/2""",На резьбе,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c55f,SD00036737,Зеркало Q-tap Mideya LED DC-F911 с антизапотеванием 500х800,true,41,3450,UAH,true,Q-tap,SD00036737,QTMIDDCF911,Зеркало Q-tap Mideya LED DC-F911 с антизапотеванием 500х800,417,3 года,,,Украина,,Q-tap,DC-F911,,,,,Зеркало,,,,,,,,,,,,,,,,,,,,,Mideya,,,,Для ванной комнаты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Китай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c560,SD00036740,Зеркало Q-tap Mideya LED DC-F937 с антизапотеванием 600х800,true,31,3450,UAH,true,Q-tap,SD00036740,QTMIDDCF937,Зеркало Q-tap Mideya LED DC-F937 с антизапотеванием 600х800,417,3 года,,,Украина,,Q-tap,DC-F937,,,,,Зеркало,,,,,,,,,,,,,,,,,,,,,Mideya,,,,Для ванной комнаты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Китай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c561,SD00036240,Переключение на душ Q-tap D01P CRM,true,99,86,UAH,true,Q-tap,SD00036240,QTD01PCRM,Переключение на душ Q-tap D01P CRM,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c562,SD00037246,Донный клапан для раковины Q-tap BLA F009M,true,20,977,UAH,true,Q-tap,SD00037246,QTBLAF009M,Донный клапан для раковины Q-tap BLA F009M,103,2 года,,,Украина,Китай,Q-tap,F009M,1,,,,Донный клапан,,,,,,,,,,,,,,,,донный клапан,,,,"0,355",,,,,Для раковины,Латунь / Керамика,,,,,,,,,,,,,черный / хром,,,,,,,,,,,,"0,42",70х225х70,,,,,,QTBLAF009M,трубка: 32 мм,"Донный клапан Q-tap BLA F009M выполнен с черной матовой крышкой из керамики и фурнитуры из латуни в хромированном цвете, что дает возможность сочетать его с раковинами с таким же покрытием. Изделие позволит перекрыть сливное отверстие в случае необходимости и использовать раковину как таз, а также предотвратить неприятные запахи канализации. Клапан быстро монтируется и просто управляется одним нажатием на крышку. Соединение универсальное со стандартным шагом резьбы подойдет под любой сифон.",,,,матовая,,,,,,,,,,,,,,70х210х70,,,,,,,,,,,,,,,,,нет,,,,,,,,"1 1/4""",есть,Автоматический (Cliсk-Claсk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c563,SD00037247,Донный клапан для раковины Q-tap BLA F009M-1 с переливом,true,20,977,UAH,true,Q-tap,SD00037247,QTBLAF009M1,Донный клапан для раковины Q-tap BLA F009M-1 с переливом,103,2 года,,,Украина,Китай,Q-tap,F009M-1,1,,,,Донный клапан,,,,,,,,,,,,,,,,донный клапан,,,,"0,36",,,,,Для раковины,Латунь / Керамика,,,,,,,,,,,,,черный / хром,,,,,,,,,,,,"0,42",70х225х70,,,,,,QTBLAF009M1,трубка: 32 мм,"Донный клапан Q-tap BLA F009M-1 выполнен с черной матовой крышкой из керамики и фурнитуры из латуни в хромированном цвете, что дает возможность сочетать его с раковинами с таким же покрытием. Изделие позволит перекрыть сливное отверстие в случае необходимости и использовать раковину как таз, а наличие перелива убережет вас от потопа, если вы ненадолго отвлеклись во время набирания воды.  Соединение универсальное со стандартным шагом резьбы подойдет под любой сифон.",,,,матовая,,,,,,,,,,,,,,70х210х70,,,,,,,,,,,,,,,,,есть,,,,,,,,"1 1/4""",есть,Автоматический (Cliсk-Claсk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c564,SD00031102,Кухонная мойка Grohe Sink K200 31552SD0,true,17,3199,UAH,true,Grohe (Kitchen sinks),SD00031102,31552SD0,Кухонная мойка Grohe Sink K200 31552SD0,115,5 лет,,,Германия,,Grohe,,1,,,,Кухонная мойка,,,,,,,,,,,,,Прямоугольная,,,"Мойка, сифон, слив/перелив, донный клапан, монтажный набор, паспорт",,,,"3,5",K200,,,,,Нержавеющая сталь,Врезной,,,160,500,860,,,,,,,Сталь,,,,,,,,,,,,5,200х900х540,,,GROHE Whisper - тихая работа изделий. GROHE QuickFix - удобный монтаж. GROHE StarLight - хромированное покрытие.,,,31552SD0,Нержавеющая сталь AISI 304 (V2A).,"Кухонная мойка Grohe EX Sink 31552SD0 изготовлена из нержавеющей стали, что гарантирует ее надежность и привлекательность поверхности. Благодаря системе GROHE QuickFix установка мойки не займет много времени и не потребует дополнительного оборудования. Мойка выполнена с рабочей чашей с отверстием слив-перелив, отверстием под смеситель и крылом для сушки посуды или разморозки продуктов. Изоляция GROHE Whisper на нижней части мойки уменьшает шум, есть автоматический мусоросборочный фильтр.",,,,Satin,,,,,,,,,,,,,,,,,,,Германия,,,,,1,450,Да,1,160х340х400,Есть,90,Есть,Универсальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c565,SD00031103,Набор кухонная мойка Grohe EX Sink 31562SD0 K200  и смеситель BauEdge 31367000,true,21,5199,UAH,true,Grohe (Kitchen sinks),SD00031103,31562SD0,Набор кухонная мойка Grohe EX Sink 31562SD0 K200  и смеситель BauEdge 31367000,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c566,SD00031104,Кухонная мойка Grohe Sink K300 31563SD0,true,9,4169,UAH,true,Grohe (Kitchen sinks),SD00031104,31563SD0,Кухонная мойка Grohe Sink K300 31563SD0,115,5 лет,,,Германия,,Grohe,,1,,,,Кухонная мойка,,,,,,,,,,,,,Прямоугольная,,,"Мойка, сифон, слив/перелив, донный клапан, монтажный набор, паспорт",,,,"3,5",K300,,,,,Нержавеющая сталь,Врезной,,,175,500,860,,,,,,,Сталь,,,,,,,,,,,,5,220х900х540,,,GROHE Whisper - тихая работа изделий. GROHE QuickFix - удобный монтаж. GROHE StarLight - хромированное покрытие.,,,31563SD0,Нержавеющая сталь AISI 304 (V2A).,"Кухонная мойка Grohe EX Sink 31563SD0 изготовлена из нержавеющей стали, что гарантирует ее надежность и привлекательность поверхности. Благодаря системе GROHE QuickFix установка мойки не займет много времени и не потребует дополнительного оборудования. Мойка выполнена с рабочей чашей с отверстием слив-перелив, отверстием под смеситель и крылом для сушки посуды или разморозки продуктов. Изоляция GROHE Whisper на нижней части мойки уменьшает шум, есть автоматический мусоросборочный фильтр.",,,,Satin,,,,,,,,,,,,,,,,,,,Германия,,,,,1,450,Да,1,175х360х400,Есть,90,Есть,Универсальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
