_id,description,manufacturer_name,product_availability,product_availability_local,product_categoryId,product_currency,product_model,product_name,product_price,product_price_currency_online,product_price_online,product_seria,product_sku,product_status,sourceCurrency,sourcePrice,Бренд,Высота,Гидромассаж,Длина,Материал,Монтаж,Опора,Ориентация,Особенности,Панель,Серия,Сифон,Смеситель,Тип поверхности,Тип управления,Форма,Цвет изделия,Ширина,Длина/высота (мм),Страна производитель,Цвет/тип покрытия,Глубина,Назначение,Диаметр (мм),Диаметр 2 (мм),Перелив,Подключение к канализации,Угол,Диаметр (дюймы),Диаметр 2 (дюймы),Диаметр 3 (мм),"Длина кронштейна (от стены), мм","Длина лейки верхнего душа, мм",Кол-во режимов верхнего душа,Кол-во режимов ручного душа,"Мин Высота, мм",Регулируемая высота стойки,Форма лейки верхнего душа,"Ширина лейки верхнего душа, мм","Высота, мм","Диаметр/Диагональ, мм",Мыльница,Способ переключения режимов,Тип держателя,Форма лейки ручного душа,Цвет диска ручного душа,Высота поддона,Наличие поддона,Наличие сифона,Расположение,Тип двери,Толщина стекла,Форма кабины,Цвет профиля,Цвет стекла,Тип слива,Тип сидения,Тип установки смесителя,Подвод воды,Безободковый,Комплектация,Материал сиденья,"Сиденье, крышка",Тип изделия,Тип слива бачка,Унитаз с функцией биде,Кол-во смесителей,Особенности формы,Отверстия под смеситель,Тип дверей,Конструкция,Длина излива,Кол-во отверстий,Кол-во потребителей,Повротный излив,Тип переключателя ванна/душ,Форма накладки,Высота излива,Наличие донного клапана,Положение регулятора,С полочкой,Высота смесителя,Вывод для фильтрованной в,Выдвижной излив,Тип излива,Тип поддона,Материал лейки,Давление (PN),Толщина стенки,Длина излива см,Тип товара
5e8f4b81f5714a2cd62f86a3,"Инсталляция для биде для монтажа перед стеной или стеной перегородкой, самонесущая стальная рама с порошковым напылением. Крепежный материал : болты-держатели для биде; смывное колено, выдерживающее высокую температуру, DN 50; уплотнение Ø 32 мм; 2 звукоизоляционных подключения; смесителя DN 15; крепежный материал для биде. Без принадлежностей для монтажа перед стеной",GROHE,true,false,200051,EUR,38553001,Rapid SL Инсталяционная система для биде (без принадлежностей для монтажа перед стеной),135.56,UAH,3999,RAPID SL,011996,Акция,EUR,108,GROHE,,,,,,,,,,RAPID SL,,,,Механический,,,500,1 130,Германия,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86a4,"Настенный уголок для бачка для монтажа перед стеной, для крепления элементов к капитальной стене или перед стеной-перегородкой, бесступенчатая регулировка глубины от 130 - 203 мм, облицовка для одиночного или рельсового монтажа",GROHE,true,false,200079,EUR,3855800M,Rapid SL Настенный уголок для монтажа перед стеной (крепёжный материал 2шт),6.07,UAH,179,RAPID SL,012003,Акция,EUR,4.72,GROHE,,,,,,,,,,RAPID SL,,,,,,,,,Германия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86a5,"Комплект для подвесного унитаза (бачек, крепеж, кнопка хром - двойн. слив). Смывной бачок GD 2, 6 - 9 л, монтажная высота 1200 мм для монтажа перед стеной или стенной перегородкой, самонесущая стальная рама с порошковым напылением подготовлена для облицовки, фиксированные подключения для одиночного или рядного монтажа, быстрая регулировка по высоте, крепежный материал, 2 болта-держателя для унитаза, крепление для керамики, расстояние между болтами 180/230 мм, PP-смывная дуга DN 80, переходник DN 80/100, впускной и смывной гарнитуры. Пневматический смывной клапан с тремя режимами слива: 2-х объёмный, старт/стоп, или непрерывный. Подключение воды: справа, слева, сзади или сверху. Арматурная группа I с изоляцией от конденсационной влаги, со встроенным запорным вентилем ,с креплением для монтажа перед стеной, с накладной панелью управления",GROHE,true,false,200043,EUR,38721001,"Rapid SL комплект для подвесного  унитаза (бачок, крепеж, кнопка хром - двойн. слив)38721001(аналог 38750001)  БЕЗ ПРОКЛАДКИ",135.56,UAH,3999,RAPID SL,012005,Акция,EUR,115,GROHE,,,,,,,,,,RAPID SL,,,,,,,,,Германия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Инсталляция+крепление+клавиша,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86a6,"Встроенный универсальный термостат для ванной, душа и центрального термостата, без комплекта верхней монтажной части, неглубокая заделка 70-95 мм, элементарная встройка, полностью смонтирован и проверен на заводе; встроенный термоэлемент, большой расход воды 50 л/мин при использовании всех выводов, 2 вывода сверху по 1/2&amp;amp;quot;, отвод снизу 1/2&amp;amp;quot; - только для использования с запорным вентилем, надежный монтаж благодаря прочному корпусу и защитной накладке, подготовленные точки крепления для сухого и мокрого монтажа, материал для уплотнения к стене в комплекте; аквадиммер или запорный вентиль в сборе, корпус из латуни с низким содержанием цинка, встроенные обратные клапаны и грязеулавливающие фильтры, технология совершенного потока при уменьшенном расходе воды, класс шума I по DIN 4109, минимальное давление 1,0 бар",GROHE,true,false,4000113,EUR,35500000,Rapido Термостат универсальный,219,UAH,6461,Rapido T,012009,Акция,EUR,131,GROHE,,,,,Встраиваемый в стену,,,,,Rapido T,,,,Термостат,,,,,Германия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86a7,"Кронштейн душевой, держатель верхнего душа, резьбовое соединение 1/2, вынос 200 мм, надвижная розетка",GROHE,true,true,400020,EUR,27406000,Relexa Plus Кронштейн душевой,35.56,UAH,1049,RELEXA  PLUS,012030,Акция,EUR,26.93,GROHE,,,,,Встраиваемый в стену,,,,,RELEXA  PLUS,,,,,,,,,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86a8,"Шланг для душа металлический, хромированное  покрытие, длина - 2000 мм.",GROHE,true,false,400010,EUR,28140000,"Relexa Plus Шланг для душа2,00м",24.37,UAH,719,RELEXA  PLUS,012031,Акция,EUR,17.93,GROHE,,,,Металл,,,,,,RELEXA  PLUS,,,,,,,,0,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86a9,"Настенный держатель, хром",GROHE,true,false,4000119,EUR,28622000,Relexa Plus Настенный держатель,12.17,UAH,359,RELEXA  PLUS,012032,Акция,EUR,8.93,GROHE,,,,,Настенный,,,,,RELEXA  PLUS,,,,,,,,,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86aa,"Подключение для душевого шланга (с держателем ручного душа), хром",GROHE,true,false,400023,EUR,28628000,Relexa Plus Подключение для душевого шланга (с держателем ручного душа),13.19,UAH,389,RELEXA  PLUS,012036,Акция,EUR,9.68,GROHE,,,,,Встраиваемый в стену,,,,,RELEXA  PLUS,,,,,,,,,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86ab,"Душевой набор, настенный монтаж, душевая штанга, 600 мм.Диаметр - 100 мм. Душевой шланг, 1.750 мм. Twistfree против перекручивания шланга, хромированная поверхность. Мультирежимный.",GROHE,false,true,400071,EUR,28945000,"Relexa Душевой набор, 600мм",190,EUR,190,RELEXA,012041,Распродажа,EUR,114,GROHE,,,,,,,,,,RELEXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86ac,"Душевой шланг 1250мм, металл",GROHE,true,false,400010,EUR,28150001,Relexa Душевой шланг 1250мм,10.14,UAH,299,RELEXA,012042,Акция,EUR,7.43,GROHE,,,,,,,,,,RELEXA,,,,,,,,1 250,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
